year,region_id,region_name,ons_code,total_link_length_km,total_link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,all_hgvs,all_motor_vehicles
2022,6,London,E12000007,14812.69,9204.18,605772496.9,701570589.6,14459479463,247774000.2,3031919003,648604037.9,19089347093
2021,6,London,E12000007,14808.32,9201.46,647245366.3,607582338.7,13983441245,239005332.1,2987781031,635481336.9,18453291284
2020,6,London,E12000007,14806.324,9200.22,697725718.5,463528883.4,12453531229,226088090.9,2877490141,592999898.5,16613638242
2019,6,London,E12000007,14814.849,9205.52,467836359.5,493178964.4,15628909709,280323854.7,3264434508,597522653.8,20264369690
2018,6,London,E12000007,14807.7285,9201.1,518009547.1,463426229.7,15360300487,311386464,3259883751,597864775.3,19992861706
2017,6,London,E12000007,14842.02,9222.4,500504499.9,468824367.1,15397820259,314755652.2,3268081817,605877014.1,20055359109
2016,6,London,E12000007,14833.53,9217.13,506307274.6,473572637.2,15421402742,325407324.8,3224395889,638247686.6,20083026279
2015,6,London,E12000007,14796.15,9193.9,408463670.9,416409268.3,15407096977,343059895.3,2820168438,663447725.5,19650182304
2014,6,London,E12000007,14842.84,9222.91,411222525.8,407845063.5,15488605735,355378727.9,2785404035,643184910,19680418471
2013,6,London,E12000007,14829.63798,9214.71,374087538.8,391983185.9,15295412417,363094903.4,2618477754,645494588.8,19314462849
2012,6,London,E12000007,14814.53333,9205.32,395619606.2,409196420.1,15344905761,378519000.4,2552620710,655304368.4,19340546260
2011,6,London,E12000007,14800.1,9196.36,392051038.7,435298565.1,15525387246,373973848.1,2529308379,631287597.6,19495255636
2010,6,London,E12000007,14819.1,9208.16,395831005.8,452237351.5,15844171977,385705140.8,2535439802,634440723.3,19851994994
2009,6,London,E12000007,14800.6,9196.67,389992003.9,490341866.6,16042986454,389755686.8,2561954570,626595728.6,20111634306
2008,6,London,E12000007,14795.8,9193.68,385927089.6,493830858.6,16003801206,388955485.2,2678730010,668128210,20233445770
2007,6,London,E12000007,14783.53,9186.06,364097173.3,569389179.1,16185087836,403123777.1,2823260460,660504083.6,20641365336
2006,6,London,E12000007,14745.6,9162.49,392590748,533107655.5,16333921491,400324190.8,2743030224,671312085.1,20681695646
2005,6,London,E12000007,14741.26,9159.79,365182556.1,521479996.5,16355486488,374086734.2,2483299940,688309252,20422662411
2004,6,London,E12000007,14681.11,9122.42,324364786.1,498362587.9,16383732580,372359587.8,2428689194,680369836.5,20363513786
2003,6,London,E12000007,14712.919,9142.18,337003066.6,533109216,16445284463,361644655.3,2434451988,673623035.9,20448113358
2002,6,London,E12000007,14678.82,9121,311966481.9,471420594.9,16689506246,331580609.1,2253473670,669524447.4,20415505567
2001,6,London,E12000007,14640.3,9097.06,303232071.7,470668954.5,16581792774,318642518,2275163005,683621998.7,20329889250
2000,6,London,E12000007,14603.8,9074.38,285064173.2,443197633.7,16579095382,320750641.3,2246917172,698395128.5,20288355958
1999,6,London,E12000007,14568.8,9052.63,280888940.9,443326861,16643703170,329838479.5,2224175485,673954979.6,20314998976
1998,6,London,E12000007,14522.653,9023.96,274374870.4,406485726.5,16283310614,317415517.5,2113837083,698619750.2,19819668691
1997,6,London,E12000007,14488.181,9002.54,289069781.3,398621461.7,16229364980,314989192,2105300362,646069123.6,19694345119
1996,6,London,E12000007,14447.847,8977.48,290084450.6,375012094.2,16161494717,309645905.8,2055510242,647225102.1,19548888061
1995,6,London,E12000007,14417.874,8958.85,283280561.7,359949803.2,16003118930,303703868.8,2086967051,608719496.9,19362459150
1994,6,London,E12000007,14384.456,8938.09,278441721.3,369382328.5,16062810857,281778335.3,2010906197,623654797.9,19348532516
1993,6,London,E12000007,14350.446,8916.95,272098090.7,358169320,15882514166,273427487.5,1928558767,640880245.8,19083549986
